District,Total,Date,Vac
Ramanathapuram,37104.0,05-04-2021,1933.784154
Ranipet,25032.0,05-04-2021,1871.467448
Salem,207909.0,05-04-2021,17178.62936
Sivagangai,39410.0,05-04-2021,1132.468661
Tenkasi,36010.0,05-04-2021,2684.808947
Thanjavur,85328.0,05-04-2021,6061.833142
Theni,30172.0,05-04-2021,1111.775192
Thoothukudi,40451.0,05-04-2021,3252.514304
Tiruchirapalli,122208.0,05-04-2021,7338.704689
Tirunelveli,41431.0,05-04-2021,1724.293641
Tirupathur,33856.0,05-04-2021,1947.564854
Tiruppur,74267.0,05-04-2021,6679.816372
Tiruvallur,97690.0,05-04-2021,2622.059711
Tiruvannamalai,48316.0,05-04-2021,3810.12764
Tiruvarur,22535.0,05-04-2021,912.7306381
Vellore,94093.0,05-04-2021,5828.927757
Villupuram,76269.0,05-04-2021,3643.998599
Virudhunagar,117326.0,05-04-2021,6037.434088
Ariyalur,43795.0,05-05-2021,5820.080507
Chengalpattu,264464.0,05-05-2021,10345.80423
Chennai,1524158.0,05-05-2021,21467.01408
Coimbatore,425934.0,05-05-2021,12265.64241
Cuddalore,148588.0,05-05-2021,5712.98945
Dharmapuri,89917.0,05-05-2021,5982.899727
Dindigul,141457.0,05-05-2021,6544.79318
Erode,144383.0,05-05-2021,6389.736627
Kallakurichi,58212.0,05-05-2021,4248.179753
Kancheepuram,70329.0,05-05-2021,6029.57302
Kanniyakumari,123051.0,05-05-2021,6604.360936
Karur,59454.0,05-05-2021,5522.446841
Krishnagiri,138442.0,05-05-2021,7349.350836
Madurai,234767.0,05-05-2021,5882.354415
Nagapattinam,60793.0,05-05-2021,3766.44369
Namakkal,146458.0,05-05-2021,19924.33384
The Nilgiris,137330.0,05-05-2021,5557.169692
Perambalur,35351.0,05-05-2021,2053.882833
Pudukkottai,85449.0,05-05-2021,15136.81753
Ramanathapuram,73502.0,05-05-2021,3830.773039
Ranipet,48616.0,05-05-2021,3634.678071
Salem,357970.0,05-05-2021,29577.52647
Sivagangai,69603.0,05-05-2021,2000.081609
Tenkasi,64064.0,05-05-2021,4776.439888
Thanjavur,145810.0,05-05-2021,10358.568
Theni,61014.0,05-05-2021,2248.238486
Thoothukudi,82568.0,05-05-2021,6638.985466
Tiruchirapalli,221791.0,05-05-2021,13318.75697
Tirunelveli,76441.0,05-05-2021,3181.355271
Tirupathur,69942.0,05-05-2021,4023.410355
Tiruppur,138498.0,05-05-2021,12456.96215
Tiruvallur,190187.0,05-05-2021,5104.736107
Tiruvannamalai,85132.0,05-05-2021,6713.382446
Tiruvarur,47606.0,05-05-2021,1928.176382
Vellore,172315.0,05-05-2021,10674.6696
Villupuram,107011.0,05-05-2021,5112.797258
Virudhunagar,192811.0,05-05-2021,9921.788043
Ariyalur,22764.0,06-04-2021,3025.192663
Chengalpattu,132630.0,06-04-2021,5188.471836
Chennai,844910.0,06-04-2021,11900.14085
Coimbatore,209077.0,06-04-2021,6020.800685
